date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:22	1257/1257	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:55:19%20GMT	http://ds-bluewhale.co.kr/vr/50/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/50/index.html	(from http://ds-bluewhale.co.kr/website/vr.htm)
17:55:23	1257/1257	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:55:21%20GMT	http://ds-bluewhale.co.kr/vr/20/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/vr/20/index.html	(from http://ds-bluewhale.co.kr/website/vr.htm)
17:55:24	8322/8322	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:55:22%20GMT	http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=notice	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/board8497.html	(from http://ds-bluewhale.co.kr/website/notice.htm)
17:55:25	31453/31453	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:55:23%20GMT	http://ds-bluewhale.co.kr/board/bbs/board.php?bo_table=news	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/board71db.html	(from http://ds-bluewhale.co.kr/website/news.htm)
17:55:29	652247/652247	---M--	200	added ('OK')	image/jpeg	etag:%2219245a5-9f3d7-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit8.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit8.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:56:38	448316/448316	---M--	200	added ('OK')	image/jpeg	etag:%2219246af-6d73c-5a2ab128%22	http://ds-bluewhale.co.kr/website/sub/gongo.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/gongo.jpg	(from http://ds-bluewhale.co.kr/website/gongo.htm)
17:56:39	3536/3536	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:56:36%20GMT	http://ds-bluewhale.co.kr/board/bbs/login.php	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/login.html	(from http://ds-bluewhale.co.kr/admin/)
17:56:45	632631/632631	---M--	200	added ('OK')	image/jpeg	etag:%2219245a6-9a737-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit9.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit9.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:56:50	26106/26106	---M--	200	added ('OK')	image/jpeg	etag:%2219e1329-65fa-5a2ab553%22	http://ds-bluewhale.co.kr/mobile/sub/contact1.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/sub/contact1.jpg	(from http://ds-bluewhale.co.kr/mobile/contact.htm)
17:56:54	24788/24788	---M--	200	added ('OK')	image/jpeg	etag:%2219e1332-60d4-5a2ab553%22	http://ds-bluewhale.co.kr/mobile/sub/contact2.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/sub/contact2.jpg	(from http://ds-bluewhale.co.kr/mobile/contact.htm)
17:56:55	642638/642638	---M--	200	added ('OK')	image/jpeg	etag:%2219245a7-9ce4e-5aa5e561%22	http://ds-bluewhale.co.kr/website/sub/unit10.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/sub/unit10.jpg	(from http://ds-bluewhale.co.kr/website/floor2.htm)
17:56:55	18225/18225	---MCZ	200	added ('OK')	text/css	etag:W/%221db81d4-4731-59c9fbc9%22	http://ds-bluewhale.co.kr/board/theme/basic/css/default.css?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/theme/basic/css/default0d2a.css	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:55	236/236	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Apr%202019%2008:56:53%20GMT	http://ds-bluewhale.co.kr/board	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board.a5.delayed	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:55	240/240	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Apr%202019%2008:56:54%20GMT	http://ds-bluewhale.co.kr/board/bbs	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:55	14600/14600	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:56:54%20GMT	http://ds-bluewhale.co.kr/board/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/index.html	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:56	2930/2930	---MCZ	200	added ('OK')	application/javascript	etag:W/%221db4a87-b72-59c9faa9%22	http://ds-bluewhale.co.kr/board/js/jquery.menu.js?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/js/jquery.menu0d2a.js	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:57	208/208	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2013%20Apr%202019%2008:56:55%20GMT	http://ds-bluewhale.co.kr/board/bbs/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/bbs/index.html	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:56:59	20329/20329	---MCZ	200	added ('OK')	application/javascript	etag:W/%221db4a83-4f69-59c9faa8%22	http://ds-bluewhale.co.kr/board/js/common.js?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/js/common0d2a.js	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:00	11096/11096	---MCZ	200	added ('OK')	application/javascript	etag:W/%221db4a8e-2b58-59c9faaa%22	http://ds-bluewhale.co.kr/board/js/wrest.js?ver=161020	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/js/wrest0d2a.js	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:00	1341/1341	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Apr%202019%2006:58:34%20GMT	http://dmaps.daum.net/map_js_init/postcode.v2.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/dmaps.daum.net/map_js_init/postcode.v2.js	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
17:57:00	93637/93637	---MCZ	200	added ('OK')	application/javascript	etag:W/%221db4a85-16dc5-59c9faa9%22	http://ds-bluewhale.co.kr/board/js/jquery-1.8.3.min.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/board/js/jquery-1.8.3.min.js	(from http://ds-bluewhale.co.kr/board/bbs/write.php?bo_table=guest)
